apartment_id	property_name	provider	projection_verdict	winning_tier	floor_plan_count	positive_available_units	publish_ceiling	conventional_links	seed_plan_links	seed_vus_links	prior_hb_audited	opportunity_class	website
274983	6375 Broadway	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_3_PLAN_TEXT	4	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://drsrents.com/6375-broadway-bronx/
275900	Aria	unknown	SUCCESS_PLAN_LEVEL	TIER_3_DOM_GENERIC	3	0	CONFIRMED_NO_DATA	0	0	0	false	confirmed_no_data	https://www.liveatthearia.com/
277582	Frontera at Pioneer Meadows	appfolio	SUCCESS_PLAN_LEVEL	TIER_1_API_APPFOLIO_EMPTY_PLAN_LEVEL	6	0	UNCERTAIN	0	0	0	false	appfolio_residual_non_low_zip	https://leasefrontera.com/
277708	LC New Albany - Exchange	entrata	FAILED_NO_DATA	TIER_1_API_ENTRATA_EMPTY	0	0	NEEDS_RENDER	0	0	0	false	entrata_no_published_route	https://lcnewalbany.prospectportal.com/
277728	Residences at Lancaster Ridge	resman	SUCCESS_PLAN_LEVEL	TIER_3_DOM	2	0	<none>	0	0	0	false	uncertain_residual	https://www.lancasterridge.com/
280355	Town Center Apartments	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_1_DOM_GENERIC_PLAN_TEXT_PLAN_LEVEL	3	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://www.mhtowncenter.com/
281911	Laurel Glen	rentvision	SUCCESS_PLAN_LEVEL	TIER_3_DOM	3	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://www.liveatlaurelglen.com/
282258	Mystic Point	entrata	SUCCESS_PLAN_LEVEL	TIER_1_API_ENTRATA_SHAPE_REJECTED_PLAN_LEVEL	40	0	EXTRACTION_MISS	0	0	0	false	entrata_no_published_route	https://www.frginc.com/apartment/mystic-point/
282754	The 24 III	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_1_DOM_GENERIC_PLAN_TEXT_PLAN_LEVEL	2	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://www.the24.com/
282934	Aston Pointe	repli360	SUCCESS_PLAN_LEVEL	TIER_1_API_REPLI360_NO_FLOORPLANS	8	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://www.liveastonpointe.com/
284663	Quail Creek	knock	SUCCESS_PLAN_LEVEL	TIER_1_KNOCK_API	3	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://www.quailcreekliving.com/
284757		<blank>	FAILED_NO_DATA		0	0	<none>	0	0	0	false	uncertain_residual	https://www.liveglenattaylorsquare.com/
290028	Orchard at Mountain View	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_1_DOM_GENERIC_PLAN_TEXT_PLAN_LEVEL	3	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://communities.amh.com/communities/the-orchard-at-mountain-view
292317	Alders Grove	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_1_DOM_GENERIC_PLAN_TEXT_PLAN_LEVEL	3	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://aldersgroveliving.com/
